name	artists	album	cover	href	added_at
ヒカリの方へ	PSYQUI	NANAIRO	https://i.scdn.co/image/ab67616d0000b273527aa1e434467779f646bb74	https://api.spotify.com/v1/tracks/1YSwCI6F2LfD1iCGA1OTId	2025-03-22T15:02:03Z
Achillea - アキレア	HoneyComeBear	Achillea - アキレア	https://i.scdn.co/image/ab67616d0000b2730bd761f7302d04d3e4639f1b	https://api.spotify.com/v1/tracks/0IprHWBqxvCFKZy0dgmijP	2025-03-22T14:52:28Z
超時空GROOVE (September Delta)	Mikazuki BIGWAVE	超時空GROOVE (September Delta)	https://i.scdn.co/image/ab67616d0000b273e1c0caf2f27916e20a617692	https://api.spotify.com/v1/tracks/5c9i83zYlotAoGzHJrGoFk	2025-03-20T22:26:53Z
DA･DA･DA (2019 Remastered)	Maki Ohguro	DA　DA　DA (2019 Remastered)	https://i.scdn.co/image/ab67616d0000b27332959f19cfe0be8f9f6a41e0	https://api.spotify.com/v1/tracks/7GIrY4rdmiVa9RqJqiDPfv	2025-03-18T15:25:04Z
Trust	Ayumi Hamasaki	A BEST	https://i.scdn.co/image/ab67616d0000b27356bcdbdd16ff6781b8371c7f	https://api.spotify.com/v1/tracks/5qJMtXyoFA9Btsq77k12fS	2025-03-18T15:23:12Z
Follow Me	Junko Yagami	FULL MOON	https://i.scdn.co/image/ab67616d0000b2738fe9d3cd9ca223eecdf6058e	https://api.spotify.com/v1/tracks/7pvOyICy2T1tPHXP8mdksz	2025-03-01T20:50:57Z
STARDUST NIGHT	JADOES	Free Drink	https://i.scdn.co/image/ab67616d0000b2734275b688be3be2bca48c6bda	https://api.spotify.com/v1/tracks/60rGtdBNwa0UFcVM8bBNPa	2025-03-01T20:48:37Z
カシミヤのほほえみ - 2012 Remaster	Junko Yagami	コミュニケーション (+3, 2012 Remaster)	https://i.scdn.co/image/ab67616d0000b273a4cd2d9569da51ddd8a65c1c	https://api.spotify.com/v1/tracks/7cVqlERpWjQte20rMYN9jz	2025-03-01T16:54:55Z
天使の気持ち	Cindy	Angel Touch	https://i.scdn.co/image/ab67616d0000b273302d7aff6c1be67e23b2b230	https://api.spotify.com/v1/tracks/2wV1Hun1wkHb5N3e6hSv41	2025-02-28T05:57:20Z
ヒミツ警察	P丸様｡	ラブホリック	https://i.scdn.co/image/ab67616d0000b2733113733bacde7ea70875f976	https://api.spotify.com/v1/tracks/1IT4NcOAwllP5kK6FsWrpw	2025-02-26T15:18:18Z
恋をひそめて	汐れいら	恋をひそめて	https://i.scdn.co/image/ab67616d0000b27342c13f1a55aec43b29495fd9	https://api.spotify.com/v1/tracks/7KfcUxHjapiDyb2nGXF0Lr	2025-02-25T13:45:15Z
レクイエム (星街すいせい ver.)	Hoshimachi Suisei	新星目録	https://i.scdn.co/image/ab67616d0000b2738c55e4155ad68e18d3816198	https://api.spotify.com/v1/tracks/1pRdirTd0CFcvdTd0g9DXx	2025-02-17T13:33:15Z
あいくらふと	キミのね	あいくらふと	https://i.scdn.co/image/ab67616d0000b273628a20ecc8b95ad7c969920e	https://api.spotify.com/v1/tracks/1jE7oyUD2V1jlB0Dat0OpB	2025-02-16T21:11:04Z
ゴーストシティガール (feat. Eye)	55ymtk	ゴーストシティガール (feat. Eye)	https://i.scdn.co/image/ab67616d0000b273a86c374bddbc93c9aca664bf	https://api.spotify.com/v1/tracks/6JVaVi4xepe6d7bPxAjeoN	2025-02-15T11:55:24Z
クラクラ	Ado	クラクラ	https://i.scdn.co/image/ab67616d0000b273988b821c5941355480bffdb6	https://api.spotify.com/v1/tracks/1430GkKh9OD6jtKNV7pu0Q	2025-02-15T10:59:55Z
My Boo	Brasstracks	My Boo	https://i.scdn.co/image/ab67616d0000b27311fbd4491409095183ccfe7c	https://api.spotify.com/v1/tracks/5EkRJITdPG60ovDdCE3B3V	2025-02-15T10:45:19Z
Chess (Type Beat)	joyful	Chess	https://i.scdn.co/image/ab67616d0000b27368f9cd5710a71a69e1010e81	https://api.spotify.com/v1/tracks/1FgcRLca2X8uhLh0fshvRW	2025-02-14T19:41:02Z
Michino Timothy Kimino Kimochi	Chitose Morinaga	Michino Timothy Kimino Kimochi	https://i.scdn.co/image/ab67616d0000b27303819d7b66ad4f016eabdcbc	https://api.spotify.com/v1/tracks/6gdXZRLJr6pMZSp7QOo4Wm	2025-02-14T19:40:48Z
Cupid	藤柒吖	Cupid	https://i.scdn.co/image/ab67616d0000b2736f301f0c5c53e7d3737fe94f	https://api.spotify.com/v1/tracks/4UkYhqxgvVErMVQWO24yc6	2025-02-14T19:40:27Z
卵とじ	Yoeko Kurahashi	ただいま	https://i.scdn.co/image/ab67616d0000b273a2f6328c6ad17f973a7e8f63	https://api.spotify.com/v1/tracks/6GhxWdAXcGtlKDpBfoTvKt	2025-02-08T12:53:54Z
あなたに最高のしあわせを	Yukie Nishimura	PIANO SWITCH	https://i.scdn.co/image/ab67616d0000b273ba942491fe3a8e59b94b4f10	https://api.spotify.com/v1/tracks/1UxYLeGMkh3CZqyQqLMGtl	2025-02-07T21:12:07Z
SHOTGUN KILLER - Extended ver.	Love & Pride	パラパラオールスターズ pres. SUPER EUROBEAT〜2次系定番!〜	https://i.scdn.co/image/ab67616d0000b27343db00c70dc5f18940037737	https://api.spotify.com/v1/tracks/4wLkiY1m1eY6FWBOVRhrlF	2025-01-26T17:45:26Z
MICKEY MOUSE MARCH - EUROBEAT VERSION FULL VERSION	DOMINO	DOMINO	https://i.scdn.co/image/ab67616d0000b27384b4796e5eacfedf88d278d0	https://api.spotify.com/v1/tracks/01bGBEBSfC0NcBnblNdR0o	2025-01-26T00:06:01Z
Night of Fire - Extended mix	Niko	Bratt Sinclaire Eurobeat Style, Vol.7	https://i.scdn.co/image/ab67616d0000b273c26069a52e4895aba07a927b	https://api.spotify.com/v1/tracks/1c7IRPoWNIMLGrFgit8QXk	2025-01-25T23:56:07Z
ビーナスバグ	Hoshimachi Suisei	新星目録	https://i.scdn.co/image/ab67616d0000b2738c55e4155ad68e18d3816198	https://api.spotify.com/v1/tracks/3f8zEj3BQlGAVtJtErWLqF	2025-01-23T18:01:22Z
モニタリング	DECO*27	モニタリング	https://i.scdn.co/image/ab67616d0000b27362e7d812d35e39d6c96841a8	https://api.spotify.com/v1/tracks/1iywVk6Xx1XmJwd0rExYI3	2025-01-19T17:29:26Z
きみはシュノーケル	mekakushe	きみはシュノーケル	https://i.scdn.co/image/ab67616d0000b273fe16bc660e0be4a459476985	https://api.spotify.com/v1/tracks/767qdcP2Ns5idlCuNPI857	2025-01-19T17:26:21Z
あの手この手で feat. 大塚紗英	tonari no Hanako	あの手この手で feat. 大塚紗英	https://i.scdn.co/image/ab67616d0000b273e5f06ad2805b24cf9d0c0591	https://api.spotify.com/v1/tracks/7IKVXTFP1KZutPcQm1IrCw	2025-01-19T16:16:32Z
午前８時の脱走計画 ～This is what you want, but This is what you get～	Cymbals	午前８時の脱走計画	https://i.scdn.co/image/ab67616d0000b273ab01ec234909c591a7b4e078	https://api.spotify.com/v1/tracks/40PAeO0SUovPKAypbWA1SZ	2025-01-19T16:10:11Z
ラブレター	Yoeko Kurahashi	婦人用	https://i.scdn.co/image/ab67616d0000b27378d69f79abbf8933ccf014b2	https://api.spotify.com/v1/tracks/4YLEdBoht4Lpguqa2ZUEEW	2025-01-19T16:07:57Z
(恋は) 百年戦争	Soutaiseiriron	シンクロニシティーン	https://i.scdn.co/image/ab67616d0000b273d700845e98b043cc5ce7308e	https://api.spotify.com/v1/tracks/3HZvfm7gD2BgHEqSS1vA1w	2025-01-19T16:02:56Z
太陽のスキャット	dorlis	Swingin' Street 3	https://i.scdn.co/image/ab67616d0000b27392649ea8de08ead18898f3b5	https://api.spotify.com/v1/tracks/5ZbnqpiXkwR2mgLFnMaroc	2025-01-19T15:52:59Z
今日も雨	Yoeko Kurahashi	色々	https://i.scdn.co/image/ab67616d0000b273c3d9717f37e6e471e08e655a	https://api.spotify.com/v1/tracks/4k0wQbTKM35nezwlzEQ0dI	2025-01-19T15:43:13Z
music	ヨエコ	ニューヨエコ Ⅱ 〜ラプソディ〜	https://i.scdn.co/image/ab67616d0000b273f45490b48031493fef7c2ff4	https://api.spotify.com/v1/tracks/3dMNowJYWGSvmXlAQA16tT	2025-01-15T15:43:09Z
悲しい歌	ピチカート・ファイヴ	THE BAND OF 20TH CENTURY: Nippon Columbia Years 1991-2001	https://i.scdn.co/image/ab67616d0000b2734dd516f08fcdf428f7ec1469	https://api.spotify.com/v1/tracks/4fbS0w3Ec2AxPB5seHrarO	2025-01-06T11:17:57Z
Eternal moon	Silver Forest	東方萃奏楽	https://i.scdn.co/image/ab67616d0000b273a5dba86fcbfa96e674239099	https://api.spotify.com/v1/tracks/0LmMaiTgJY2xm5WoTqk6Wr	2025-01-04T22:46:45Z
ロ・ロ・ロ・ロシアン・ルーレット - レコード・ヴァージョン	Meiko Nakahara	2000BEST（ミレニアムベスト）中原めいこ　ベスト	https://i.scdn.co/image/ab67616d0000b273c808dc5504b9da2b72608cc7	https://api.spotify.com/v1/tracks/0Zxy0ruSsqpKy948m4b4Qw	2025-01-04T22:35:38Z
もどかしい世界の上で	Yui Makino	天球の音楽	https://i.scdn.co/image/ab67616d0000b2733b8143988aca86f1d0fe2ef0	https://api.spotify.com/v1/tracks/3W3dSGSVk0LnXWpoJuE4Op	2025-01-04T22:29:57Z
Dancing Through Life	Stephen Schwartz	Wicked (Original Broadway Cast Recording / Deluxe Edition)	https://i.scdn.co/image/ab67616d0000b273f3eaae22e1c6b26400073c05	https://api.spotify.com/v1/tracks/49xRJIQN8AZ1cN5pW68lOr	2025-01-04T21:46:54Z
サンキュードロップキック！	邪神ちゃん（CV：鈴木愛奈）	サンキュードロップキック！	https://i.scdn.co/image/ab67616d0000b2733194bc7dc80d7aa5f150013e	https://api.spotify.com/v1/tracks/620sooR6cxkJvzZVDOr5du	2025-01-04T19:48:46Z
ミチノチモシーキミノキモチ	チモシー(CV.森永千才)	あんハピ♪キャラクターソングシリーズ2	https://i.scdn.co/image/ab67616d0000b273035515b56bf8340b86b99c3b	https://api.spotify.com/v1/tracks/5nXOL6jt3wShnbcKJdfFwz	2025-01-04T18:40:23Z
Precious Heart	Seiko Matsuda	BIBLE	https://i.scdn.co/image/ab67616d0000b273e17f9ba29e61f30bbf6cf8bd	https://api.spotify.com/v1/tracks/0Z2NnFI5knhS7PKuA9CVu9	2025-01-02T18:46:52Z
