name	artists	album	cover	href	added_at
花ハ踊レヤいろはにほ - TVsize	チーム“ハナヤマタ”	花ハ踊レヤいろはにほ (TVsize)	https://i.scdn.co/image/ab67616d0000b2735ad4e9b22b069eb423c48571	https://api.spotify.com/v1/tracks/3b19yTPpVVE4EMRO6Y4Sp1	2021-12-30T23:25:48Z
Here	Homecomings	Moving Days	https://i.scdn.co/image/ab67616d0000b273702a066d8b8da62cb072ed83	https://api.spotify.com/v1/tracks/6QUB4Q7E9FCcGE8jFKDzxi	2021-12-30T23:17:56Z
雪の華	Mika Nakashima	LOVE	https://i.scdn.co/image/ab67616d0000b2734bf585b597bb024c29251b8a	https://api.spotify.com/v1/tracks/6Zyizxfz4NXdCgVLwhuBNw	2021-12-30T23:15:23Z
Dance in the Memories	Caitlin Myers	City Poppin'	https://i.scdn.co/image/ab67616d0000b2737e8d60181a5ec72daa8e4d52	https://api.spotify.com/v1/tracks/6k6SAOOw1OSmQUy7EwdUdE	2021-12-21T23:05:19Z
青い花	KUKIKODAN	ぼくらの空気公団	https://i.scdn.co/image/ab67616d0000b27332d222ffc2ecada098e97cb1	https://api.spotify.com/v1/tracks/1m2oXXwsOoejdJvOCkCqC1	2021-12-20T20:08:56Z
渋谷で5時	Maki Nomiya	野宮真貴 渋谷系ソングブック	https://i.scdn.co/image/ab67616d0000b2735f91595e1428faca300d55bf	https://api.spotify.com/v1/tracks/7Lrwm0JAJcwVvKlkhHkYAY	2021-12-20T20:03:14Z
beachphantom	The Natsuyasumi Band	NEO PARK	https://i.scdn.co/image/ab67616d0000b273fc73d710364a7f2ade6676e7	https://api.spotify.com/v1/tracks/3YT0kJxB2ttnWPCmHnPdHE	2021-12-11T14:49:55Z
tattahitosajinohibi	The Natsuyasumi Band	NEO PARK	https://i.scdn.co/image/ab67616d0000b273fc73d710364a7f2ade6676e7	https://api.spotify.com/v1/tracks/0mZAyXgzGIELQLh8K5fyVo	2021-12-11T14:40:42Z
MAYBE CRAZEE -I Love You-	PERSONZ	PRECIOUS?	https://i.scdn.co/image/ab67616d0000b2736820b13ef164fe9afb7052d7	https://api.spotify.com/v1/tracks/7Ch9JbUuQQW4nKAxbep4sb	2021-11-28T18:30:20Z
7 COLORS (Over The Rainbow)	PERSONZ	NO MORE TEARS	https://i.scdn.co/image/ab67616d0000b273da9c543b08fb835846e5f006	https://api.spotify.com/v1/tracks/2VIkOGHohefGpLTazYuktg	2021-11-28T17:57:12Z
YU.ME.NO !	ミツキヨ	ユメの喫茶店	https://i.scdn.co/image/ab67616d0000b2736947b1f9704ae93c3b7514ae	https://api.spotify.com/v1/tracks/5XMveAAhLX7ELvsxSTiqXZ	2021-11-27T10:11:06Z
七時の食事(Chocolate Lemon)	ミツキヨ	夢箱	https://i.scdn.co/image/ab67616d0000b273a866cb109338e1e58c2bf51e	https://api.spotify.com/v1/tracks/2Tf7jUzaybygDrW89UA1fh	2021-11-27T10:07:49Z
九時のミルフィーユ	ミツキヨ	夢箱	https://i.scdn.co/image/ab67616d0000b273a866cb109338e1e58c2bf51e	https://api.spotify.com/v1/tracks/0ibIZVuRBjKgDBdjGCLJYn	2021-11-27T10:04:35Z
Cassette Tape Dream	しゃろう	Cassette Tape Dream	https://i.scdn.co/image/ab67616d0000b273678d89ec1b548459ba2af255	https://api.spotify.com/v1/tracks/4D8wqdUzClwaWXLWRCv0Vi	2021-11-27T09:58:39Z
2:23 AM	しゃろう	2:23 AM	https://i.scdn.co/image/ab67616d0000b273288d7b4799be5a9b112e04e3	https://api.spotify.com/v1/tracks/2G2X5AMqBRE2PgS3qCWfqf	2021-11-27T09:55:10Z
Umi yorimo Fukaku	Etsuko Sai	MOBILE FIGHTER G GUNDAM Original Motion Picture Soundtrack - GUNDAM FIGHT Round 1&2	https://i.scdn.co/image/ab67616d0000b2736c2480c2cf0c7ac490ac0654	https://api.spotify.com/v1/tracks/7qlYhNeZXUXU4sg45yqL5X	2021-11-26T14:04:41Z
遠く遠く - 2012 Remaster	Noriyuki Makihara	君は僕の宝物 (2012 Remaster)	https://i.scdn.co/image/ab67616d0000b273df9f4243f327c7904563e0ea	https://api.spotify.com/v1/tracks/3f7bdbdODQAOY9ZHE9ZKh5	2021-11-18T20:27:55Z
Meet Lime Cookie! - Twintails Edition	Tsundere Twintails	Meet Lime Cookie! (Twintails Edition)	https://i.scdn.co/image/ab67616d0000b273b9ab18d3b832278440ad3da5	https://api.spotify.com/v1/tracks/0Z2TZvYi6cjaJEznjeMO3x	2021-11-07T20:13:27Z
夜の公園	AKAIKO-EN	THE PARK	https://i.scdn.co/image/ab67616d0000b2730e1014692a894218189fedee	https://api.spotify.com/v1/tracks/2FzLfVta0Sunv6EYkWz8Ua	2021-10-20T20:13:28Z
Tokyo Future Girl	picco	Tokyo Future Girl	https://i.scdn.co/image/ab67616d0000b2731aac991bb5c5c64261dcaecf	https://api.spotify.com/v1/tracks/5JfY5UbMz8y2ik2cpnIwLg	2021-10-19T20:26:14Z
クジラの夢でもう一度	gaburyu	条理加速の片隅、彼女と想像の中身に関する行方	https://i.scdn.co/image/ab67616d0000b273c4bba2dda3ac9f3606cb291d	https://api.spotify.com/v1/tracks/1O3WfErUdMl1Om8Pa9lRKA	2021-10-19T20:26:10Z
Gum Gum Gum!	Semoothe	Gum Gum Gum!	https://i.scdn.co/image/ab67616d0000b2731ce94b66cd8bf69ce1886cdf	https://api.spotify.com/v1/tracks/2uOu92n9vW1yHir6Na8vpM	2021-10-19T20:16:15Z
Shout Baby	Ryokuoushoku Shakai	Shout Baby	https://i.scdn.co/image/ab67616d0000b2737a403abbe68a3488c78fd887	https://api.spotify.com/v1/tracks/3SNczkrn6bUm6zZM8i5XDe	2021-10-03T01:45:41Z
Los Colores de la Vida	YMCK	FAMILY DANCING	https://i.scdn.co/image/ab67616d0000b27350dddb3ac49a1fe9c2244401	https://api.spotify.com/v1/tracks/69vka0xCdrojy8PnIeTORY	2021-09-23T07:46:33Z
フィクション	sumika	Fiction -EP	https://i.scdn.co/image/ab67616d0000b27346dc2702d6ec71d0d53dec77	https://api.spotify.com/v1/tracks/3vmRaPrPEdW3KJqmT0d51r	2021-09-14T16:55:58Z
TSUZUKU	Ikimonogakari	WHO?	https://i.scdn.co/image/ab67616d0000b2736cfbd0df17d105bd6e970a28	https://api.spotify.com/v1/tracks/3UqhHSUnctiCg3jb9d9cj5	2021-09-07T18:57:11Z
土曜の夜はパラダイス	EPO	VITAMIN E・P・O	https://i.scdn.co/image/ab67616d0000b27305e0d091d113e687913e91fb	https://api.spotify.com/v1/tracks/0nS9XbCc736b2TIXOdrkNe	2021-09-07T18:24:14Z
綺麗	Kayoko Yoshizawa	東京絶景	https://i.scdn.co/image/ab67616d0000b273b01d4ba16bee4701a1002dc8	https://api.spotify.com/v1/tracks/1AfMbGrtlwWYU0tNhWrxQ2	2021-09-06T14:48:01Z
Sad number	Laura day romance	Sad number/ランドリー	https://i.scdn.co/image/ab67616d0000b27311958049005c69849b47c1fb	https://api.spotify.com/v1/tracks/734EMcGt57JKYQzejY1uGQ	2021-09-06T12:44:12Z
カプチーノ	Sheena Ringo	逆輸入 ~港湾局~	https://i.scdn.co/image/ab67616d0000b2730689e2f5ec52122917cd86a5	https://api.spotify.com/v1/tracks/7rWtdYFW5l5NlwocQKgoKM	2021-09-06T09:22:57Z
Doutankyohi	HoneyWorks	Kokuhakujikkouiinkai -FLYING SONGS- Aishiteru	https://i.scdn.co/image/ab67616d0000b273ce13da39b05bdf5c222b40f6	https://api.spotify.com/v1/tracks/044AdPOTQERBV3F1MmroSw	2021-09-04T22:45:10Z
ないない	ReoNa	ないない	https://i.scdn.co/image/ab67616d0000b273edbcb3bba6da0249dea0229d	https://api.spotify.com/v1/tracks/1VVFJeC7AWaDcC6eCr3XqV	2021-09-04T21:47:10Z
Mela!	Ryokuoushoku Shakai	Mela!	https://i.scdn.co/image/ab67616d0000b273c753d46683786eed63d41a90	https://api.spotify.com/v1/tracks/6IO5nn84TKArsi3cjpIqaD	2021-09-04T21:34:56Z
会いたい	もさを。	会いたい	https://i.scdn.co/image/ab67616d0000b273a6e96444a3a5c8ad0009ad80	https://api.spotify.com/v1/tracks/6KCEL11alMnIccqpRBrrN1	2021-09-04T21:25:55Z
sabotage	Ryokuoushoku Shakai	sabotage	https://i.scdn.co/image/ab67616d0000b273c078914a0f20095f281e0b6d	https://api.spotify.com/v1/tracks/64ztvh9KDjnGR07r1bUTnz	2021-09-04T21:06:53Z
It's Raining After All	TUYU	It's Raining After All	https://i.scdn.co/image/ab67616d0000b273ec61804d798b2c42fe23f7c3	https://api.spotify.com/v1/tracks/1qNqYFfxuTPHwYmRMCdzdt	2021-09-04T19:14:50Z
残暑	果歩	残暑	https://i.scdn.co/image/ab67616d0000b273beca02b1d6f4299475ad736e	https://api.spotify.com/v1/tracks/7cR8HZoQTR8UFNIdksBwVC	2021-09-04T12:46:41Z
春の夜へ	Ayano Kaneko	よすが	https://i.scdn.co/image/ab67616d0000b2730c85371ef58997b9970bbcfc	https://api.spotify.com/v1/tracks/7B198JUpt84xEHo20VPI3M	2021-09-03T15:01:00Z
雨とカプチーノ	ヨルシカ	雨とカプチーノ	https://i.scdn.co/image/ab67616d0000b273db1b28ec01391e71a2147131	https://api.spotify.com/v1/tracks/7lRCvofuqk5YZinCcxiYXK	2021-09-01T10:14:58Z
花に亡霊	ヨルシカ	盗作	https://i.scdn.co/image/ab67616d0000b2732794743c6eb13addc2b01420	https://api.spotify.com/v1/tracks/3FUqp10RhCmMjyyB9extmo	2021-09-01T10:14:48Z
ただ君に晴れ	ヨルシカ	負け犬にアンコールはいらない	https://i.scdn.co/image/ab67616d0000b27328b535c92629e3c8d20ec242	https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz	2021-09-01T10:14:41Z
雲と幽霊	ヨルシカ	夏草が邪魔をする	https://i.scdn.co/image/ab67616d0000b27318b1145d9883e5b140151fa9	https://api.spotify.com/v1/tracks/469v6OYBSwcdGRTTvj37ps	2021-09-01T10:14:27Z
あかり	伊藤 蘭	My Bouquet	https://i.scdn.co/image/ab67616d0000b273a8f5bcb9452d490172dda505	https://api.spotify.com/v1/tracks/4epvv8bs2iIsvPLoVXh3XS	2021-08-31T21:29:17Z
女なら	伊藤 蘭	My Bouquet	https://i.scdn.co/image/ab67616d0000b273a8f5bcb9452d490172dda505	https://api.spotify.com/v1/tracks/4YibttPyUmDcKNekVr8WBr	2021-08-31T21:28:53Z
Miracle Love	Riho Makise	P. S. Riho	https://i.scdn.co/image/ab67616d0000b27334df529acc7d126b659190cc	https://api.spotify.com/v1/tracks/2hm54LHwVl2y9B3x0J3yku	2021-08-31T17:44:55Z
concours (live 2021)	Sakura Fujiwara	[SUPERMARKET] Live 2021 at Nakano Sunplaza	https://i.scdn.co/image/ab67616d0000b273c704ab9901fb6907b202aa1b	https://api.spotify.com/v1/tracks/3WD6VARQetEFwEk4fxKC5n	2021-08-25T17:53:13Z
Waver (live 2021)	Sakura Fujiwara	[SUPERMARKET] Live 2021 at Nakano Sunplaza	https://i.scdn.co/image/ab67616d0000b273c704ab9901fb6907b202aa1b	https://api.spotify.com/v1/tracks/5d7O3fp0CysTQwRCpBbypY	2021-08-25T17:31:09Z
「かわいい」	Sakura Fujiwara	good morning	https://i.scdn.co/image/ab67616d0000b2730169a27599d58d623f63112e	https://api.spotify.com/v1/tracks/3IKCD1WPYCUu58r4ByPCQd	2021-08-25T17:30:57Z
しょうもな	Creep Hyp	しょうもな	https://i.scdn.co/image/ab67616d0000b273838c7848ae7dc19cd38a3ae9	https://api.spotify.com/v1/tracks/1K3gY8nfWxK0BA8qD6Sio2	2021-08-24T11:22:10Z
East of the Sun	akiko	Swingy, Swingy with Chai-Chii Sisters	https://i.scdn.co/image/ab67616d0000b2734b212d45ec5ec612ad70aeb1	https://api.spotify.com/v1/tracks/2DtlUemPvhbXsVWtaESI1X	2021-08-17T15:23:49Z
Style.	Kana Nishino	Love One.	https://i.scdn.co/image/ab67616d0000b2733b6d186c5ffe7b57ccc27322	https://api.spotify.com/v1/tracks/4hpYpI2wug9fNOYtV3LecE	2021-08-16T13:49:41Z
I don't care about Christmas though	Camellia	GOIN'!	https://i.scdn.co/image/ab67616d0000b273ebcb05a6d1b7ccecbfebd9ad	https://api.spotify.com/v1/tracks/5EKBJ7o6rYBdhnxLef6zH5	2021-08-15T21:56:51Z
Rainbow Float	Snail's House	Pâtisserie Snail	https://i.scdn.co/image/ab67616d0000b273db1c02005c269edc8c3ae892	https://api.spotify.com/v1/tracks/1lAz5N2RaBtHmGapbnLwm4	2021-08-15T17:35:19Z
SHYNESS BOY	Anri	Timely!!	https://i.scdn.co/image/ab67616d0000b273cfd93d36fe2365f9436587d1	https://api.spotify.com/v1/tracks/7KYzARBusZhyZ6jygZDmVr	2021-08-15T04:00:30Z
負けないで、負けないで・・・	Megumi Hayashibara	VINTAGE DENIM	https://i.scdn.co/image/ab67616d0000b273472f2a4a91238e1c5c782a0b	https://api.spotify.com/v1/tracks/0vH6jtqVBBm448hexCGwea	2021-08-15T03:42:02Z
